Name of model: Tensorflow model
Tested: 15/06/2021 17:06:02
Your model tested value: 0.866100013256073
Generating random algorithm: numpy.normal

Sigma	Tested value
0.348	0.1290999948978424
0.349	0.11590000241994858
0.35	0.10000000149011612
0.351	0.20960000157356262
0.352	0.13910000026226044
0.353	0.09640000015497208
0.354	0.11760000139474869
0.355	0.10239999741315842
0.356	0.08529999852180481
0.357	0.1754000037908554
0.358	0.09000000357627869
0.359	0.10859999805688858
0.36	0.1266999989748001
0.361	0.16609999537467957
0.362	0.1565999984741211
0.363	0.08009999990463257
0.364	0.15279999375343323
0.365	0.1234000027179718
0.366	0.09809999912977219
0.367	0.1615000069141388
0.368	0.14569999277591705
0.369	0.10610000044107437
0.37	0.14149999618530273
0.371	0.051600001752376556
0.372	0.03790000081062317
0.373	0.0934000015258789
0.374	0.13950000703334808
0.375	0.11400000005960464
0.376	0.12409999966621399
0.377	0.08879999816417694
0.378	0.21860000491142273
0.379	0.15399999916553497
0.38	0.13369999825954437
0.381	0.10189999639987946
0.382	0.10999999940395355
0.383	0.17630000412464142
0.384	0.0997999981045723
0.385	0.1347000002861023
0.386	0.1152999997138977
0.387	0.18729999661445618
0.388	0.08169999718666077
0.389	0.14740000665187836
0.39	0.15729999542236328
0.391	0.12690000236034393
0.392	0.1103999987244606
0.393	0.09679999947547913
0.394	0.09809999912977219
0.395	0.12210000306367874
0.396	0.10279999673366547
0.397	0.06700000166893005
0.398	0.05290000140666962
0.399	0.11860000342130661
0.4	0.1776999980211258
